职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
招商经理/主管,华谊兄弟(长沙)电影文化城有限公司,长沙,5千-8千,本科,其它,100-299人,销售业务,3-5年,"五险一金,包住,包吃,免费班车,免费停车"
商务BD(MCN),快乐购有限责任公司,长沙,1万-1.5万,本科,其它,500-999人,销售业务,3-5年,"五险一金,绩效奖金,带薪年假,定期体检,节日福利,年底双薪,补充医疗保险,餐补"
区域销售推广,万达信息,长沙,8千-1.5万,本科,其它,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,带薪年假,定期体检"
农产品销售经理,红星实业集团有限公司红星农副产品大市场,长沙,8千-1万,本科,其它,100-299人,销售业务,3-5年,"五险一金,年底双薪,带薪年假,定期体检,高温补贴,节日福利,绩效奖金"
5G消息运营商BD(前期需驻场移动),小源科技,长沙,1万-1.5万,本科,其它,100-299人,销售业务,3-5年,"五险一金,员工旅游,餐补,交通补助,公司重点项目,节日福利,通讯补助,试用期全额"
解决方案经理——解决方案中心（长沙）,中移物联网,长沙,1万-1.5万,本科,其它,10000人以上,销售管理,3-5年,"五险一金,周末双休,年底双薪,带薪年假,节日福利"
业务副总经理,中轨投资控股有限公司,长沙,3万-3.1万,本科,其它,100-299人,销售管理,3-5年,
网络营销总监,长沙大卫教育科技有限公司,长沙,1.8万-2.5万,本科,其它,300-499人,销售管理,3-5年,"全勤奖,餐补,绩效奖金,节日福利,五险"
销售经理（湖南）,北京中景合天科技有限公司,长沙,1万-1.5万,本科,其它,20-99人,销售管理,3-5年,"五险一金,带薪年假,节日福利,周末双休"
营销经理,湖南三一工业职业技术学院,长沙,1万-2万,本科,学校/下级学院,300-499人,销售管理,3-5年,"五险一金,绩效奖金,带薪年假,交通补助,餐补,节日福利,定期体检,项目提成"
商务经理,湖南彭立珊产业投资管理有限公司,长沙,8千-1万,本科,港澳台公司,100-299人,销售业务,3-5年,"五险一金,餐补,定期体检,带薪年假,节日福利,员工旅游,定期团建"
科学仪器销售代表仪器销售经理-湖南,长沙朴雅精研仪器设备有限公司,长沙,2千-4千,本科,代表处,20人以下,销售业务,3-5年,"绩效奖金,年底双薪,年终分红,全勤奖,交通补助,餐补,通讯补助"
高端天平产品经理（ 技术应用型销售经理）,长沙朴雅精研仪器设备有限公司,长沙,8千-1万,本科,代表处,20人以下,销售业务,3-5年,"绩效奖金,年底双薪,年终分红,全勤奖,交通补助,餐补,通讯补助,带薪年假"
城市经理（BD经理）,通联支付网络服务股份有限公司湖南分公司,长沙,8千-1.6万,本科,股份制企业,100-299人,销售管理,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,定期体检,高温补贴,节日福利"
销售经理（制造业）,美林数据,长沙,7千-1.4万,本科,股份制企业,500-999人,销售管理,3-5年,"五险一金,绩效奖金,交通补助,餐补,通讯补助,带薪年假,定期体检,节日福利"
个代销售总监,大家保险集团,长沙,面议,本科,股份制企业,10000人以上,销售管理,3-5年,"五险一金,绩效奖金,餐补,定期体检,高温补贴,节日福利,带薪年假"
商务销售,湖南众东信息科技有限公司,长沙,6千-1.2万,本科,股份制企业,20-99人,销售业务,3-5年,"五险一金,年底双薪,周末双休,免费停车,绩效奖金,全勤奖,节日福利,公司重点项目"
高薪诚聘营销片区负责人,世纪沃康(长沙)粮油销售有限公司,长沙,5千-7千,本科,股份制企业,100-299人,销售管理,3-5年,"五险,交通补助,餐补,通讯补助,带团队"
大客户销售经理,政通智慧城市运营科技有限公司,长沙,8千-1.5万,本科,股份制企业,1000-9999人,销售管理,3-5年,"员工宿舍,项目奖金,节日福利,双休,通讯补助,五险一金,带团队"
销售经理,湖南中大安孚新能源技术有限公司,长沙,4千-6千,本科,股份制企业,20-99人,销售业务,3-5年,"五险一金,年底双薪,加班补助,带薪年假,员工旅游,节日福利"
销售经理,科士达,长沙,8千-1万,本科,股份制企业,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,年底双薪"
营销总监,湖南共赢建筑工程有限公司,长沙,1.5万-2万,本科,股份制企业,1000-9999人,销售管理,3-5年,"加班补助,通讯补助,五险一金,定期团建,节日福利,高温补贴"
行业销售总监,北京声迅电子股份有限公司,长沙,1.5万-2.5万,本科,股份制企业,100-299人,销售管理,3-5年,"五险一金,绩效奖金,餐补,通讯补助,带薪年假,高温补贴,节日福利,周末双休"
市场经理（湖南 地信 测绘 系统集成）,武汉光谷信息技术股份有限公司,长沙,4千-8千,本科,股份制企业,500-999人,销售业务,3-5年,"五险一金,免费班车,节日福利,绩效奖金,餐补,定期团建,带团队,包住"
湖南办事处销售经理(数据中心),科士达,长沙,8千-1万,本科,股份制企业,1000-9999人,销售管理,3-5年,"节日福利,五险一金,年终分红,包住,餐补,带薪年假,定期体检,免费班车"
医疗器械销售,泓宠国际科技(北京)有限公司,长沙,4千-6千,本科,股份制企业,20人以下,销售业务,3-5年,周末双休
销售工程师,长沙金码测控科技股份有限公司,长沙,8千-1万,本科,股份制企业,100-299人,销售业务,3-5年,"五险一金,加班补助,包住,交通补助,节日福利,包吃,创业公司,周末双休"
招商经理,新印科技股份有限公司,长沙,8千-1.2万,本科,股份制企业,100-299人,销售业务,3-5年,"绩效奖金,全勤奖,公司重点项目,节日福利,餐补,五险一金,带薪年假"
渠道管理员,中联环境,长沙,6千-8千,本科,股份制企业,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,包吃,包住,免费班车,带薪年假"
海外销售工程师（医疗行业）,湖南一特医疗股份有限公司,长沙,5千-1万,本科,股份制企业,100-299人,销售业务,3-5年,"带薪年假,节日福利,包吃,周末双休,五险一金,弹性工作"
分公司渠道部负责人,大家保险集团,长沙,面议,本科,股份制企业,10000人以上,销售管理,3-5年,"周末双休,五险一金,带薪年假,餐补,高温补贴"
